CustomerID,FirstName,LastName,Email,Phone,City,State,LastUpdated
5000,Ava,Taylor,ava.taylor5000@gmail.com,9940210320,Hyderabad,Telangana,2025-04-18 00:00:00
5001,Benjamin,Johnson,benjamin.johnson5001@gmail.com,9344399234,Bangalore,Karnataka,2024-09-09 00:00:00
5002,Bob,Parker,bob.parker5002@gmail.com,9427512058,Chennai,Tamil Nadu,2024-01-25 00:00:00
5003,Emily,Rogers,emily.rogers5003@gmail.com,9430198157,Delhi,Delhi,2024-04-25 00:00:00
5004,James,Rogers,james.rogers5004@gmail.com,9458178620,Hyderabad,Telangana,2025-07-12 00:00:00
5005,Daniel,Davis,daniel.davis5005@gmail.com,,Delhi,Delhi,2025-03-25 00:00:00
5006,Sophia,Morgan,sophia.morgan5006@gmail.com,,Chennai,Tamil Nadu,2025-09-22 00:00:00
5007,Emily,Collins,emily.collins5007@gmail.com,9552330004,Delhi,Delhi,2025-08-15 00:00:00
5008,Bob,Morgan,bob.morgan5008@gmail.com,,Mumbai,Maharashtra,2025-03-26 00:00:00
5009,Daniel,Cook,daniel.cook5009@gmail.com,,Mumbai,Maharashtra,2024-02-10 00:00:00
5010,Bob,Parker,bob.parker5010@gmail.com,,Chennai,Tamil Nadu,2025-01-18 00:00:00
5011,Mia,Collins,mia.collins5011@gmail.com,9601446038,Bangalore,Karnataka,2024-09-13 00:00:00
5012,Ethan,Brown,ethan.brown5012@gmail.com,,Bangalore,Karnataka,2025-01-15 00:00:00
5013,Daniel,Murphy,daniel.murphy5013@gmail.com,,Bangalore,Karnataka,2025-06-18 00:00:00
5014,Emily,Stewart,emily.stewart5014@gmail.com,,Chennai,Tamil Nadu,2024-08-22 00:00:00
5015,Bob,Murphy,bob.murphy5015@gmail.com,,Chennai,Tamil Nadu,2024-07-16 00:00:00
5016,Ava,Parker,ava.parker5016@gmail.com,9854823838,Bangalore,Karnataka,2024-11-20 00:00:00
5017,Ethan,Cooper,ethan.cooper5017@gmail.com,,Delhi,Delhi,2025-02-17 00:00:00
5018,Charlotte,Morris,charlotte.morris5018@gmail.com,9222680729,Chennai,Tamil Nadu,2025-01-02 00:00:00
5019,Harper,Wilson,harper.wilson5019@gmail.com,,Chennai,Tamil Nadu,2024-12-03 00:00:00
5020,Ethan,Johnson,ethan.johnson5020@gmail.com,,Chennai,Tamil Nadu,2025-10-29 00:00:00
5021,Ava,Peterson,ava.peterson5021@gmail.com,,Mumbai,Maharashtra,2025-04-04 00:00:00
5022,Alice,Morgan,alice.morgan5022@gmail.com,,Delhi,Delhi,2025-05-29 00:00:00
5023,Ava,Morgan,ava.morgan5023@gmail.com,9405896625,Chennai,Tamil Nadu,2024-01-25 00:00:00
5024,Amelia,Collins,amelia.collins5024@gmail.com,9252550191,Hyderabad,Telangana,2024-02-21 00:00:00
5025,John,Cooper,john.cooper5025@gmail.com,,Delhi,Delhi,2024-02-14 00:00:00
5026,Michael,Cooper,michael.cooper5026@gmail.com,,Delhi,Delhi,2025-10-22 00:00:00
5027,William,Edwards,william.edwards5027@gmail.com,,Mumbai,Maharashtra,2025-11-07 00:00:00
5028,Ethan,Peterson,ethan.peterson5028@gmail.com,9595018096,Bangalore,Karnataka,2025-06-14 00:00:00
5029,Matthew,Wilson,matthew.wilson5029@gmail.com,9452366533,Hyderabad,Telangana,2024-12-04 00:00:00
